author,position,company
 Ben Blake ," VP & Global Head of Consumer Marketing, ",Hotels.com
 Brad Klingenberg ," Chief Algorithms Officer, ",Stitch Fix
 Brooks Clemens ," Senior Manager, ",Adidas
 Caroline Chan ," Vice President & General Manager , ",Intel
 Chenkai Ling ," Vice President of JD.com and General Manager of JD Retail Solutions, ",JD.com
 Chris Homer ," CTO, ",thredUP
 Clodagh Moriarty ," Chief Digital Officer, ",Sainsbury's 
 Daniel Gebler ," CTO, ",Picnic
 Debbie Bond ," Chief Commercial Officer, ",Lovehoney
 Dina Sidani ," Head of Greenhouse Accelerator/ Innovation Lab, ",Chalhoub Group
 Elle Edwards ," Global Head of Communications & Culture, ",Kodak Alaris
 Josh Bottomley ," Global Head of Digital, Data & Development, ",HSBC
 Josh Builder ," CTO & Head of Product, ",Rent The Runway
 Marcela Sapone ," CEO, ",Hello Alfred
 Masahiro Hisayama ," Head of Innovation Centre Europe, ",Panasonic
 Nancy Cruikshank ," SVP Digital Business Transformation, ",Carlsberg
 Nihan Sahan Eren ," Head of Refreshment Consumer and Market Insight, ",Unilever
 Sara Wood ," EVP, Product, ",Farfetch
 Scott Crawford ," Head of Enable the Science , ",84.51/Kroger
 Tomi Siren ," Head of Digital, ",Arla
 Zak Normandin ," Founder & CEO, ",iris nova
 Abhy Thomas Joseph ," CIO, ",Pentland Brands
 Alex Hamilton ," Head of Innovation, ",Isobar
 Alex Jones ," Group Director, ",Fjord (Accenture)
 Alice Sandelson ," Strategic Partnerships Lead, ",Founders Factory
 Alison Wiltshire , Retail & Brand Expert ,
 Alla Foht ," Partner and Chief Innovation Manager, ",Re:Tech
 Almudena Cardenas ," Chief Project & Innovation Officer, ",Tendam
 Amy Chao ," Design, Digital and Innovation Strategist, ",Chao Consulting 
 Amy Vener ," Retail Vertical Strategy Lead, ",Pinterest
 Anastasia Leng ," CEO, ",Picasso Labs
 Andi Hadisutjipto ," Founder & CEO, ",Riviter 
 Andrew Carlisle ," Managing Director of Retail UK & Ireland, ",Accenture 
 Andrew Curran ," Director, ",Retain.me
 Andrew Vorster , Innovation Catalyst ,
 Andy Burton ," Group Chief Technology Officer , ",Shop Direct 
 Andy Cowley ,,FiveAi
 Andy Hill ," Commercial Director, ",Sorted
 Andy Rudd ," Director of Customer Experience, ",Kingfisher PLC
 Archie Campbell ," Co-Founder, ",Vidsy
 Assaf Baciu ," Co-founder, ",Persado
 Ben Blake ," VP & Global Head of Consumer Marketing, ",Hotels.com
 Beth Horn ," Industry Head, Retail & Restaurants, ",Facebook
 Binesh Lad ," Head of Retail, ",Google Cloud
 Brad Klingenberg ," Chief Algorithms Officer, ",Stitch Fix
 Brian McCarthy , Former Supply Chain Director ,
 Brooks Clemens ," Senior Manager, ",Adidas
 Cally Russell ," CEO, ",Mallzee
 Caroline Chan ," Vice President & General Manager , ",Intel
 Caroline Crosswell ," Director of Retail and Development, ",Rapha Racing Ltd
 Carrie Gofron ," Partnerships, ",Shopify Plus 
 Cassandra Stevens ," Global Commerce Director, ",Zenith
 Catriona Ferriss ," Global HC CMI Director, ",Unilever 
 Chenkai Ling ," Vice President of JD.com and General Manager of JD Retail Solutions, ",JD.com
 Chris Brook-Carter ," SVP, ",Retail Week
 Chris Homer ," CTO, ",thredUP
 Christine Bailey ," CMO, ",Valitor
 Cindy Wei ," Head Of China, ",Yext'
 Clare Jones ," CCO, ",what3words
 Clodagh Moriarty ," Chief Digital Officer, ",Sainsbury's 
 Dan Goldstein ," Chief Marketing Officer, ",AVIXA 
 Daniel Domínguez Vázquez ," Head of Data, ",Geoblink 
 Daniel Gebler ," CTO, ",Picnic
 Daniel Hulme ," CEO, ",Satalia
 Darren Ward ," Executive Partner, ",Reply
 David Coombs ," Head of Strategic Services, ",Cheil UK
 David Gordon ," Research Director, ",Edge by Ascential
 David Gore ," Head of Retail Consulting, ",BJSS
 David Martin ," European Marketing Director, ",Coca Cola
 David Palmer ," Strategy and Innovation Director, ",Kingfisher
 David Robinson ," COO, ",Pets at Home
 Debbie Bond ," Chief Commercial Officer, ",Lovehoney
 Dhruv Kumar ," VP of Engineering, ",Photobox
 Dimas Gimeno , Expert in Omnichannel retail & digital transformation ,
 Dina Sidani ," Head of Greenhouse Accelerator/ Innovation Lab, ",Chalhoub Group
 Dmitri Lerko ," Head of DevOps , ",loveholidays 
 Doug Gardner ," CIO, ",River Island
 Eamonn Carey ," MD, ",Techstars
 Ed Connolly ," Strategy Director & Director of JLP Ventures, ",JLP
 Eda Ocak ," Partner, ",ThinkNeuro
 Elle Edwards ," Global Head of Communications & Culture, ",Kodak Alaris
 Elsa Bernadotte ," Co-Founder and COO , ",Karma
 Emilie Maunoury ," Digital, Ecommerce & CRM Director, ",Clarins
 Emma Mead ," Digital Director , ",Halfords
 Erin Booth ," Investor, ",Founders Factory 
 Fabian Wong ," Head of Experience and Design, ",Capita
 Faye Roth ," Head of Delivery & Transformation at River Island, ",River Island
 Felix Winckler ," CCO, Co-founder , ",reflaunt.com
 Flo Wright ," Retail Analyst, ",Edge by Ascential
 Franky Athill ," Head of Marketing, ",Patch 
 Gavin Shetly ," VP, Product Engineering , ",IKEA Group
 Gideon Hoffman , Technology Investor ,
 Giuseppe Guillot ," Logistics & Infrastructure Director, ",Kurt Geiger
 Glen Koskela ," CTO Retail & Hospitality EMEIA, ",Fujitsu
 Grace Bowden ," Head of Content, ",Retail Week 
 Graham Johnston ," Head of Omnichannel and Digital First, ",Three
 Grant Duncan ," Leader of Spencer Stuart UK Technology, Media, & Telecommunications Practice, ",Spencer Stuart
 Hannah St Paul ,,Snapchat 
 Henry Rose Lee , Inter-Generational Expert ,
 Ian McGarrigle ," Chairman, ",World Retail Congress
 Ian Pattison ," Head of Engineering for Retail, Manufacturing & Travel , ",Google Cloud
 Ioli Macridi ," Retail Analyst, ",Edge by Ascential
 Isabela Chick ," MD Retail and Beauty, ",Founders Factory
 Isobel Chillman ," Head of Creative Partnerships, ",Retail Week
 Jackie Mulligan ," CEO & Founder, ",ShopAppy
 Jacob Aqraou , VC ,
 James Hammersley ," CEO of ecommerce consultancy, Good Growth, ",Good Growth
 James Knowles ," Head of Commercial Content, ",Retail Week
 James Patterson ," VP Manufacturing & Consumer Services, ",CGI
 Jason Forbes ," Chief Digital Officer, ",COTY
 Jason Stanard ," Partner, ",Reply
 Jat Sahi ," Digital Lead Retail & Hospitality EMEIA, ",Fujitsu
 Jeroen Vanderhaeghen ," Senior Consultant, Retail , ",Reply
 Jesse Collins ," Retail Analyst, ",Edge by Ascential
 Jo Hickson ," Head of Labs, ",Tesco
 Joe Jensen ," VP General Manager, ",Intel
 Joe Till ," National Sales Manager, ",Sorted 
 John Atcheson ," Co-Founder/CEO, ",Stuffstr
 John Auckland ," Founder , ",TribeFirst
 Jon Buss ," Managing director, ",Yext
 Jonathan Petrides ," Founder, ",allplants
 Josh Bottomley ," Global Head of Digital, Data & Development, ",HSBC
